claim_id,claim,claim_type,source_artifact,supporting_references,evidence_level,operationalization,falsification_status,confidence,notes
DEF-,"A set of commitments about admissible entities, categories, relations, identity conditions, modalities, and constraints in a domain. In computational work, these commitments may be approximated through ontologies, schemas, contracts, types, or model definitions, but none of those artifacts is automatically a philosophical ontology.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The physical, computational, social, or modeled condition of a declared system at a particular time.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A rule-governed assignment of content, denotation, truth conditions, inferential consequences, or transition behavior to expressions, states, signs, or operations within a specified system and domain.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,The content-bearing assignments and relations currently licensed by a specified semantics for a system or discourse state.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A typed measure or characterization of distinctions, correlations, descriptions, or content relative to a specified source, code, semantic relation, probability model, or use.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A materially or formally realized vehicle that provides selective access to a declared target through a mapping or correspondence and an interpretive practice.

A representation may preserve, transform, omit, or introduce structure.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declared transformation from a target description, system state, or semantic assignment into an accessible representational form.

A projection contract specifies:

- target and authority;
- mapping or construction rule;
- interpretation assumptions;
- preserved properties;
- transformed properties;
- omitted properties;
- introduced properties;
- available operations;
- observer assumptions;
- intended use;
- context and scope;
- uncertainty, tolerance, and failure conditions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declared property remains invariant across projections when independently specified comparison rules show that it is preserved for a stated target, observer class, context, metric, and tolerance.

Invariance must be typed. Relevant types include:

- ontological;
- semantic;
- informational;
- structural;
- topological;
- computational;
- inferential;
- task;
- behavioral;
- interactional.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The application, recovery, construction, negotiation, or revision of semantic relations by an interpreting system under a context, competence, history, and purpose.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Any bounded person, collective, organism, computational process, artificial system, institution, or hybrid arrangement occupying a consequential role within an interaction.

A participant may observe, interpret, act, constrain, authorize, mediate, represent, store, or transform state. Participation does not imply autonomy, intelligence, consciousness, or learning.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"An acting interaction participant that selects or produces actions through a policy, rule, control process, intention, or other action-selection organization.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The declared physical, computational, social, symbolic, or mixed system within which action and state transition occur.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"An action-relevant relation between an agent’s effectivities or capabilities and environmental structure that makes a class of action possible. In the Gibsonian sense, perception is not required for the affordance to exist.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A typed and indexed analytical profile coordinating action-availability relations under declared system, agent, projection, task, authority, state, and temporal conditions.

Opportunity is not a new primitive. It coordinates established relations such as feasibility, capability, permission, enablement, reachability, exposure, signaling, belief, expected consequence, reversibility, and uncertainty.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"For an agent, action, state, projection, and time, an opportunity profile records the relevant typed relations:

- domain-valid;
- effectively capable;
- permitted;
- enabled;
- reachable outcomes;
- exposed;
- signaled;
- believed available;
- expected consequences;
- selected;
- executed;
- successful;
- reversible or recoverable;
- uncertainty and provenance.

Selected, executed, and successful are trace predicates rather than availability sets.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,The effective capacity or resources required for an agent-system coupling to execute an action or bring about an outcome under declared conditions.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Authorization under a policy, role, rule, authority, or institutional condition for a subject to perform an operation.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,The condition in which an action’s current-state preconditions are satisfied.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,The existence of at least one admissible transition sequence from a declared initial state to a target state or outcome within specified constraints and horizon.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,Provision by the current projection of an executable access path to an operation.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Perceivable information indicating an operation, condition, consequence, state, or recovery path.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The empirically observed probability and process by which an agent identifies an action or relation under declared task, projection, knowledge, modality, context, and time conditions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"An action represented by an agent as available, with an associated confidence and expected consequence.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declared intervention, command, operation, or behavior capable of participating in a state transition.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A change from one declared system state to another under a transition relation, process, or event.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A recorded or accessible distinction about state, transition, representation, or outcome available through a specified measurement or observation process.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A bounded, temporally extended trajectory of observable or instrumentally recoverable changes, outputs, or regulated persistence attributed to a system in relation to its environment under a declared observation and attribution model.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A provenance-preserving chain connecting direct observations, system-derived features, latent interpretations, alternative explanations, uncertainty, and falsifying evidence to a bounded research claim.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Equivalence of declared action or outcome distributions for a specified population, task, context, metric, and tolerance.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Equivalence of the available operation-transition-observation structure under specified agent, task, projection, authority, state, context, and tolerance conditions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A family of bounded coupling phenomena in which distinguishable systems or participants become mutually consequential through perturbation, constraint, uptake, response, and recurrence.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A bounded interval in which two or more distinguishable systems are coupled such that perturbations originating in, or mediated by, one system alter the possible or actual state trajectory of another, and the resulting configuration constrains a later trajectory of an originating or co-participating system within a declared boundary and timescale.

Reciprocal closure may be direct, indirect, asymmetric, delayed, probabilistic, or environmentally mediated.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A relation or pathway through which a participant or shared medium can alter another participant's transition structure, reachable states, probabilities, timing, or constraints.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A difference propagated through a coupling relation that may change state, transition conditions, probabilities, timing, or reachable outcomes.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Incorporation of a perturbation into a participant's state, transition process, control process, or interpreted situation. Uptake need not be semantic or conscious.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Return influence through which a response constrains an originating participant, a co-participant, or the shared coupling configuration.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of interaction identity, participants and roles, boundary, timescale, state, coupling, preconditions, events, transitions, protocol, invariants, evidence, failure, recovery, and completion conditions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The measurable structural properties of a representation or interaction surface, such as hierarchy, topology, density, alignment, rhythm, symmetry, enclosure, continuity, direction, visual weight, temporal organization, and modality.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,A typed vocabulary and composition structure for semantic actions and transitions independent of any one input modality or rendering implementation.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"The accumulated experience, training, conventions, outcomes, failures, practices, and prior exposure that may change an agent’s later beliefs, policies, and interpretation.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A temporally ordered or partially ordered record of observable or attributed events under declared boundaries, granularity, and observation rules.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of the measurand, observation process, operationalization, scale, uncertainty, validity evidence, population, task, projection, comparison conditions, and permitted interpretation.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A comparison of interaction tokens, types, structures, protocols, opportunities, traces, behaviors, policies, strategies, outcomes, causes, or measurements under an explicit frame, correspondence mapping, admissible transformations, metrics, tolerances, uncertainty, and validity domain.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Historical identity of one bounded interaction episode under declared continuity, participant, boundary, and timescale criteria.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,Membership in the same abstraction-defined interaction class under explicit classification rules.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,Exact preservation under a declared comparison contract and observable set. Equivalence is always typed.,canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Graded proximity under declared dimensions, representations, alignment rules, metrics, weights, tolerances, and uncertainty.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"Failure to establish a defensible common comparison space because boundaries, targets, mappings, scales, observation processes, uncertainty, or validity domains cannot be aligned without unsupported assumptions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of comparison target, frame, representations, correspondence mapping, invariants, variants, observables, admissible and prohibited transformations, typed metrics or predicates, tolerances, uncertainty, validity domain, and final typed profile.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"An inferred, temporally extended organization of conditional action selection, information use, resource allocation, and contingency response that tends to preserve or improve one or more criteria across a declared class of interaction states.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A declaration of strategy-bearing system, domain, timescale, criteria, state and observation model, state abstraction, opportunity assumptions, action repertoire, selection policy, information policy, commitments, contingency and recovery rules, switching and stopping conditions, resources, authority, identity invariants, rival strategies, uncertainty, and validity domain.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A conditional relation from represented states, observations, or beliefs to action distributions.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A representation-independent computational substrate for declaring domain commitments, evolving system state, assigning operational semantics, and producing governed projections whose preservation, transformation, omission, introduced structure, operations, snapshots, and replay can be inspected.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
DEF-,"A research program that studies interaction as an explanatory target by separating and comparing declared domain commitments, state, semantics, projection, representation, interpretation, opportunity, coupling, behavior, measurement, similarity, strategy, and evidence.

CIS must justify itself through comparative explanatory gain, empirical validity, reproducible methods, and error-sensitive predictions. It does not replace HCI, psychology, anthropology, cognitive science, design, computer science, or related disciplines.",canonical definition,Canonical Ontology/Glossary,,conceptual synthesis,,not directly empirical unless operationalized,provisional/corpus-authoritative,No new theory introduced.
