Path,Top-level category,Extension,Size bytes,SHA-256,Authority role
00_Project/CHANGELOG.md,00_Project,.md,511,0208a046f6936f8fff8cb52d192a726f533e59bc6f010f8815cc21e868ee4da8,External evidence
00_Project/README.md,00_Project,.md,1047,027b36f066ceb6dfb81e34ba5fd9dc26e9086a8ed0e3c7833319ee9a0587a227,External evidence
00_Project/VERSION,00_Project,,6,59854984853104df5c353e2f681a15fc7924742f9a2e468c29af248dce45ce03,External evidence
01_Knowledge_System_of_Record/01_Ontology/Current/A_Relational_Ontology_of_Computational_Interaction_v0.3.md,01_Knowledge_System_of_Record,.md,11381,dbfc0ab1594eb95bda64de60691078531493cadd65583b07c8f82a1fc5f32532,Normative
01_Knowledge_System_of_Record/02_Glossary/Computational_Interaction_Science_Glossary_v0.4.md,01_Knowledge_System_of_Record,.md,19466,0a12d901cdcb1e8f4c89e8b6093d8c12ef5d2d231e17d30535ef9b99006ec8be,Normative
01_Knowledge_System_of_Record/03_Encyclopedia/Computational_Interaction_Science_Encyclopedia_Article_Draft_v0.3.md,01_Knowledge_System_of_Record,.md,31739,39290aed817e979eb4152b8813cdfd68d51b226343d6dc14305b58042f5b4fef,Normative
01_Knowledge_System_of_Record/04_Framework/Fundamental_and_Computational_Interaction_Science_v0.4.md,01_Knowledge_System_of_Record,.md,10600,f39ee02ce7eab701616ddcce7394b30590b32a433e01eecc25be34e3a80c073c,Normative
01_Knowledge_System_of_Record/05_Specifications/Contracts/Computational_Interaction_Science_Contracts_v1.0.0-structure.1.md,01_Knowledge_System_of_Record,.md,12890,3b0492416b0117ae402fb610b02f68cce77819cbbf90b4f0ec89366ce7c36c19,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_EDGES.csv,01_Knowledge_System_of_Record,.csv,2317,e9705634fd8f3a8ada008ac2261fa99522dbfdd5ad94dc6cd34148a92c90d221,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_GRAPH.mmd,01_Knowledge_System_of_Record,.mmd,1340,4584625bc35dd8d08a48e52d5bbe43ac9870c637b7b00232f4047a441a40eb68,Normative
01_Knowledge_System_of_Record/06_Graph/PAPER_DEPENDENCY_NODES.csv,01_Knowledge_System_of_Record,.csv,2003,9d1b32b9e4dd91c519ce4f6766969f3fdd8f9753ce96973e90f52e0d96fdaa39,Normative
01_Knowledge_System_of_Record/07_Reviews/Computational_Interaction_Science_Wikipedia_Readiness_Review_v0.2.md,01_Knowledge_System_of_Record,.md,2910,7414ac57a26221ab3e796df31b1717214e73252795752887da936b79ed901a95,Normative
01_Knowledge_System_of_Record/README.md,01_Knowledge_System_of_Record,.md,592,9986336a3cefae8d70e584cff9c8d9944032f940d1285f44e1e73da57de78a2e,Normative
02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.docx,02_Research_Papers,.docx,293939,97a1c66d29e6f5adaa14a190283f86f23fe4e39862c2e38f5a76ab2539bf3dd5,Provenance
02_Research_Papers/01_Scientific_Explanandum/Interaction_as_a_Scientific_Explanandum.pdf,02_Research_Papers,.pdf,692939,7e958588395bc56593ec6229a57cfb334f5b5b9956d21ad40383db3cc0fd3fd5,Provenance
02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.docx,02_Research_Papers,.docx,58230,659b77f1f4b1a311572021b467a20a836d3732b0f1f060c936458e3f23df51cd,Provenance
02_Research_Papers/02_Primary_Scientific_Object/Can_Interaction_Become_a_Primary_Scientific_Object.pdf,02_Research_Papers,.pdf,260215,8c075d00f6563f824f4ec58aa0e47349ea53d1da42df6ffc791922b86b478123,Provenance
02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.docx,02_Research_Papers,.docx,57355,0f95061d23e59ad59ef2ad5931f446b2a88466d1c3c25fa5875ac4d5924a58da,Provenance
02_Research_Papers/03_Architecture_of_Sciences/How_Sciences_Define_Their_Objects.pdf,02_Research_Papers,.pdf,274900,e79935ce5bc5a4fec78956e5ce72b661e69ffaada18f94d50f954d2753e9da6b,Provenance
02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.docx,02_Research_Papers,.docx,56800,09d7edc5c72867e214e8c2103d153af3ff680b9babe09ae41da7f9ec7de8a82f,Provenance
02_Research_Papers/04_Representation_and_Projection/Representation_Invariance_and_Projection.pdf,02_Research_Papers,.pdf,251225,ac3693b7314d8b79cdc23021f6d802203cc71b0f8701ea220bfa2bc750184b1c,Provenance
02_Research_Papers/04_Representation_and_Projection/Scoped_Invariance_Under_Projection_v0.4.md,02_Research_Papers,.md,10111,ed99c66dcd81dfd73038d038f5da621ce557b60e81035e620b35a163744ee457,Provenance
02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.docx,02_Research_Papers,.docx,55239,2c0310ed8b4a506e38fe6b6b56528bbc14448a1d269ab2d2944159a26ac2903d,Provenance
02_Research_Papers/05_Ontology_Semantics_Interpretation/Ontology_Semantics_Representation_and_Interpretation.pdf,02_Research_Papers,.pdf,263904,e5a1ff3870e888ae5a30206338a42d63529e5e68df2ef671114b628540963d5e,Provenance
02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.docx,02_Research_Papers,.docx,51939,2e089675aa5eb87e6b732958f6931471e7743489bd5cbc62a45159c54e47a267,Provenance
02_Research_Papers/06_Opportunity/Opportunity_Affordance_and_Action_Availability.pdf,02_Research_Papers,.pdf,34737,f9cbe51ea0cd45d7670388c02ddf420ac321cbb8d0d4d61b7b397ce52024f8f9,Provenance
02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.docx,02_Research_Papers,.docx,51790,7a20f61906e4067964f1a59fc2820c18be610dd2928d3ef82c6736359b3bf1f2,Provenance
02_Research_Papers/07_Interaction/Interaction_Toward_a_General_Theory_of_Interaction.pdf,02_Research_Papers,.pdf,162530,0f14e40aaf671729b227dcdf0d7ffb4308b483994bcf818819c6dc5baa91d04c,Provenance
02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.docx,02_Research_Papers,.docx,52166,5e14eeb1f3d42a7a8d8b859b45ef82a35c477b5d2ca3a17eac5c0e51123642f4,Provenance
02_Research_Papers/08_Behavior/Behavior_Toward_a_Scientific_Theory_of_Computational_Behavior.pdf,02_Research_Papers,.pdf,242256,8fbc91bda172464dc43f00611e3fcb83ab2ca5f13a870f4f5af270cc4fa116dd,Provenance
02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.docx,02_Research_Papers,.docx,50286,61c6872b28fc56ac2f9ea2203863e01b0d11b4a75b3d442e72674c8b6e2799f8,Provenance
02_Research_Papers/09_Measurement/Measurement_Toward_a_Scientific_Framework_for_Interaction_Research.pdf,02_Research_Papers,.pdf,194046,e79b6a9401806443408e3a099dbc134152835496cc334c0883ebf86586d235d1,Provenance
02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.docx,02_Research_Papers,.docx,49973,d3615a14b033beb764fe63d0e96408bca4762c2bd618794ee19760cc7ae45290,Provenance
02_Research_Papers/10_Similarity/Interaction_Similarity_Toward_a_General_Theory_of_Comparable_Interactions.pdf,02_Research_Papers,.pdf,198970,e0f177e949ec0fbca85312d95899e8eceb893b5b33fb40731ece32c25af44a9e,Provenance
02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.docx,02_Research_Papers,.docx,47919,efe7562696c7e159f82a8357db51918e9b325d79d4313e3563499f69f88db305,Provenance
02_Research_Papers/11_Transfer/Interaction_Transfer_Toward_a_Theory_of_Experience_and_Adaptation.pdf,02_Research_Papers,.pdf,162457,018af49e044e00d849bbb386b3bb6980e9b240c3a77021784f58d2e25e5f450a,Provenance
02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.docx,02_Research_Papers,.docx,49697,12d17b52bf5c5066bddefbd74eff2a8b973e2d0dedd8db5f672fc91604cda6b7,Provenance
02_Research_Papers/12_Strategies/Interaction_Strategies_Toward_a_Theory_of_Behavioral_Organization.pdf,02_Research_Papers,.pdf,166385,f53bdb21c21807466dbfbce65a8160aff4064f3d085a701808ba07ddb8b4cfd8,Provenance
02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.docx,02_Research_Papers,.docx,47838,a013d07c9f0379b0796350f0612ffe5b206c25c052b8ad390d7d102204aaec45,Provenance
02_Research_Papers/13_Formal_Models/Formal_Models_of_Computational_Interaction_Toward_a_Mathematical_Foundation.pdf,02_Research_Papers,.pdf,156092,42a12ba87930f6e98bcf5d57a629a17c202d92c43dd0bc6711f081ad53b8b8ba,Provenance
02_Research_Papers/13_Formal_Models/The_Limits_of_Computational_Interaction_Models_v0.2.md,02_Research_Papers,.md,6841,eb053a859414185831868f8ae7e950810133ed05bf4e42ea558601de802a0745,Provenance
02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.docx,02_Research_Papers,.docx,54454,2c8587224481dffbe1763cb281b1624b9cb3bad190d436bf413aacda2e96678a,Provenance
02_Research_Papers/14_Prediction/Predicting_Interaction_Toward_a_Predictive_Theory_of_Computational_Interaction.pdf,02_Research_Papers,.pdf,279474,d0fa26b91d67df7aae241bf09265c8f8d5badcb35a0327851b3df0cc29a3c04d,Provenance
02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.docx,02_Research_Papers,.docx,51392,98ab22439979bed985aea50f9195f9ecf128439c8f7c450e338f4ba0ed34b74d,Provenance
02_Research_Papers/15_Comparative_Interaction/Comparative_Interaction_Toward_a_Scientific_Method_for_Comparing_Computational_Interactions.pdf,02_Research_Papers,.pdf,239472,7e8cd2e73bee8dc182cebad2cef730d020b266765dbb991ab9c6f49e8471779b,Provenance
02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.docx,02_Research_Papers,.docx,50649,66449cfd51942694d434be493e92dbcbffcb61b4275d481cd867ab8d075816da,Provenance
02_Research_Papers/16_Program_Synthesis/Computational_Interaction_Science_Foundations.pdf,02_Research_Papers,.pdf,228968,b38227b0c2a333240ed564fda9b72b105146e6f1b1c35a385d073db81791771b,Provenance
03_Research_Infrastructure/01_Bibliography/Computational_Interaction_Science_Bibliography.bib,03_Research_Infrastructure,.bib,73990,a3487ec7b898d41462e6128c922c2a7afc9263c120728a3d8afaf1dafd913b1e,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Citation_Map.docx,03_Research_Infrastructure,.docx,78609,a5f2cac3862a40cb24dfd44b4b4d4ff5755a23f0fa648c9b1ca903f8e7833ef7,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Citation_Map.pdf,03_Research_Infrastructure,.pdf,346568,14f69cd75ede56efe867b0fc34bd5e4407a4ac4513a702b66d14fdb6431edaf6,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Concept_Source_Matrix.docx,03_Research_Infrastructure,.docx,58705,3ffb4460a6bdca03023f7738400cc3c567fde3a71c289e045495c6f8809c40f2,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Concept_Source_Matrix.pdf,03_Research_Infrastructure,.pdf,379230,e2c2d20fdcc6321446e4c45d7e6937435c736dc14ef7c53e0f9be4989b64de65,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Paper_Dependency_Graph.docx,03_Research_Infrastructure,.docx,37607,f9f7ed227c9ed7430b95e6f58cc92e2e7b023169e8e4847eaf499db8b59c3f29,Infrastructure
03_Research_Infrastructure/02_Citation_and_Source_Maps/Computational_Interaction_Science_Paper_Dependency_Graph.pdf,03_Research_Infrastructure,.pdf,55416,354074c98161f8f7b30abfc9deae788876b9118cf41d728439adb1d48c8b54aa,Infrastructure
03_Research_Infrastructure/03_Reading_Guides/Computational_Interaction_Science_Reading_Guide.docx,03_Research_Infrastructure,.docx,90159,b9f45580cafe1c8913bc42fca66959107f3e2426c127c134360b885296aefa88,Infrastructure
03_Research_Infrastructure/03_Reading_Guides/Computational_Interaction_Science_Reading_Guide.pdf,03_Research_Infrastructure,.pdf,344182,c68b71b53bef03d967712379f0416028c3d0cff28563510a9a5c9a2a2733b1ac,Infrastructure
03_Research_Infrastructure/04_Reference_Corpus/Computational_Interaction_Science_Reference_Corpus.docx,03_Research_Infrastructure,.docx,37232,873599c1af2f6c97591ca6d0480152b836e0e0efe4971102eb1174839ec062d5,Infrastructure
03_Research_Infrastructure/04_Reference_Corpus/Computational_Interaction_Science_Reference_Corpus.pdf,03_Research_Infrastructure,.pdf,52736,b53104146d710dedb5fe43063b22d0dad465ad6d6515bd6284dd26bd42805409,Infrastructure
03_Research_Infrastructure/04_Reference_Corpus/Computational_Interaction_Science_References.docx,03_Research_Infrastructure,.docx,89946,daf87e589afbcccf16e4639f48b4f2174f082742ed7c6bf0f70c5c4142aebce1,Infrastructure
03_Research_Infrastructure/04_Reference_Corpus/Computational_Interaction_Science_References.pdf,03_Research_Infrastructure,.pdf,342051,10b7be2254d5afb03a13f31ed63f667cc9337a1b92f65341cdce421c3d529254,Infrastructure
04_External_Literature/Books/Computational_Modeling_Book_Preview.pdf,04_External_Literature,.pdf,5074326,c254d816a59989199e9d5803637f42a39c1360dadf717bfccf81ccf06b6cad0c,External evidence
04_External_Literature/Books/Edward_Hutchins_Cognition_in_the_Wild.pdf,04_External_Literature,.pdf,26783,eac032338489317334e7e29c0ccd942a5f06e912ebfc58bdae0e06409663a798,External evidence
04_External_Literature/Books/Interaction_Design_Beyond_Human_Computer_Interaction.pdf,04_External_Literature,.pdf,19855210,218a88c4ba5db2e72f3a5a3a47d919261e8984d045f73a030a7a6d2d31320ae6,External evidence
04_External_Literature/Books/The_Design_of_Everyday_Things_Don_Norman.pdf,04_External_Literature,.pdf,3100112,edbb619feacdd62aaead9df3a3b871eb6463d2cc443c7c9418a1c9ee93bf5870,External evidence
04_External_Literature/Books/The_Psychology_of_Human_Computer_Interaction.pdf,04_External_Literature,.pdf,22121389,2dcbbe0b7af08d70a5c25cd3edd926699c03d5d720f3e0bcedd2df15b18d20d4,External evidence
04_External_Literature/Papers_and_Reports/Engestrom_Activity_Theory_and_Social_Theory.pdf,04_External_Literature,.pdf,129441,91902aff5e8f50443bf99be089a0e987c315abad7bb37b561114561b735f5490,External evidence
04_External_Literature/Papers_and_Reports/Plans_and_Situated_Actions.pdf,04_External_Literature,.pdf,9080138,c367e28b2f9aec3cf771ec4496742cc9095505ea42431feb712151533d177458,External evidence
